#step  PE  KE  vx2 vy2 vz2
0 -1.790901e+01 1.275631e-03 4.032958e-04 4.365487e-04 4.357867e-04
100 -1.947720e+01 1.278914e-03 4.030873e-04 4.458798e-04 4.299470e-04
200 -1.817551e+01 1.276190e-03 4.024979e-04 4.495368e-04 4.241554e-04
300 -1.831884e+01 1.276490e-03 4.037890e-04 4.471542e-04 4.255470e-04
400 -1.807084e+01 1.275967e-03 4.069426e-04 4.468720e-04 4.221527e-04
500 -1.878314e+01 1.277458e-03 4.045023e-04 4.502880e-04 4.226681e-04
600 -1.540227e+01 1.270381e-03 4.018167e-04 4.475007e-04 4.210640e-04
700 -1.825870e+01 1.276361e-03 4.030357e-04 4.506777e-04 4.226473e-04
800 -1.575041e+01 1.271108e-03 4.078387e-04 4.465043e-04 4.167649e-04
900 -1.693387e+01 1.273588e-03 4.154750e-04 4.468323e-04 4.112802e-04
1000 -1.753895e+01 1.274853e-03 4.169077e-04 4.486386e-04 4.093071e-04
1100 -1.575624e+01 1.271130e-03 4.106045e-04 4.503148e-04 4.102102e-04
1200 -1.645056e+01 1.272583e-03 4.099420e-04 4.520630e-04 4.105778e-04
1300 -1.324978e+01 1.265883e-03 4.070144e-04 4.501393e-04 4.087290e-04
1400 -1.524143e+01 1.270052e-03 4.081947e-04 4.515492e-04 4.103077e-04
1500 -1.253144e+01 1.264378e-03 4.090225e-04 4.482980e-04 4.070577e-04
1600 -1.305178e+01 1.265468e-03 4.129161e-04 4.482221e-04 4.043294e-04
1700 -1.284260e+01 1.265029e-03 4.098000e-04 4.509001e-04 4.043294e-04
1800 -1.331974e+01 1.266028e-03 4.089733e-04 4.516266e-04 4.054282e-04
1900 -1.338687e+01 1.266169e-03 4.080967e-04 4.501428e-04 4.079293e-04
2000 -1.366171e+01 1.266743e-03 4.099942e-04 4.450579e-04 4.116913e-04
2100 -1.473890e+01 1.268998e-03 4.110213e-04 4.457898e-04 4.121872e-04
2200 -1.603920e+01 1.271721e-03 4.146773e-04 4.437976e-04 4.132456e-04
2300 -1.622538e+01 1.272110e-03 4.120903e-04 4.471640e-04 4.128560e-04
2400 -1.642422e+01 1.272527e-03 4.147005e-04 4.390174e-04 4.188090e-04
2500 -1.697541e+01 1.273680e-03 4.150213e-04 4.361615e-04 4.224975e-04
2600 -1.359359e+01 1.266601e-03 4.091195e-04 4.381536e-04 4.193282e-04
2700 -1.696265e+01 1.273654e-03 4.088721e-04 4.359660e-04 4.288162e-04
2800 -1.594817e+01 1.271531e-03 4.119243e-04 4.324011e-04 4.272055e-04
2900 -1.754824e+01 1.274880e-03 4.166084e-04 4.340479e-04 4.242238e-04
3000 -1.501232e+01 1.269572e-03 4.183603e-04 4.321752e-04 4.190362e-04
3100 -1.828758e+01 1.276428e-03 4.197551e-04 4.332958e-04 4.233771e-04
3200 -1.648654e+01 1.272658e-03 4.134985e-04 4.367635e-04 4.223956e-04
3300 -1.349300e+01 1.266391e-03 4.152953e-04 4.292501e-04 4.218458e-04
3400 -1.559403e+01 1.270789e-03 4.191333e-04 4.289804e-04 4.226754e-04
3500 -1.665702e+01 1.273015e-03 4.183177e-04 4.300586e-04 4.246383e-04
3600 -1.810258e+01 1.276041e-03 4.153494e-04 4.333909e-04 4.273004e-04
3700 -1.944738e+01 1.278855e-03 4.193406e-04 4.285946e-04 4.309202e-04
3800 -1.789123e+01 1.275598e-03 4.187619e-04 4.302581e-04 4.265784e-04
3900 -1.988119e+01 1.279764e-03 4.145433e-04 4.293965e-04 4.358241e-04
4000 -1.941473e+01 1.278792e-03 4.160005e-04 4.252243e-04 4.375669e-04
4100 -2.157471e+01 1.283313e-03 4.215062e-04 4.204138e-04 4.413928e-04
4200 -1.803239e+01 1.275897e-03 4.217441e-04 4.123795e-04 4.417739e-04
4300 -1.925787e+01 1.278463e-03 4.247892e-04 4.131270e-04 4.405468e-04
4400 -1.865052e+01 1.277191e-03 4.286403e-04 4.128793e-04 4.356718e-04
4500 -1.674129e+01 1.273195e-03 4.285976e-04 4.069578e-04 4.376393e-04
4600 -1.640969e+01 1.272495e-03 4.274083e-04 4.078074e-04 4.372788e-04
4700 -1.544765e+01 1.270481e-03 4.282095e-04 4.053283e-04 4.369429e-04
4800 -1.533643e+01 1.270249e-03 4.275170e-04 4.075173e-04 4.352143e-04
4900 -1.637458e+01 1.272422e-03 4.272419e-04 4.098752e-04 4.353047e-04
5000 -1.524322e+01 1.270054e-03 4.289074e-04 4.084065e-04 4.327397e-04
5100 -1.513290e+01 1.269823e-03 4.266181e-04 4.080925e-04 4.351124e-04
5200 -1.680076e+01 1.273314e-03 4.204447e-04 4.159985e-04 4.368704e-04
5300 -1.441182e+01 1.268313e-03 4.137379e-04 4.133513e-04 4.412233e-04
5400 -1.842092e+01 1.276705e-03 4.171712e-04 4.196731e-04 4.398607e-04
5500 -1.491556e+01 1.269368e-03 4.148803e-04 4.173348e-04 4.371528e-04
5600 -1.635534e+01 1.272380e-03 4.116290e-04 4.169195e-04 4.438316e-04
5700 -1.808701e+01 1.276006e-03 4.190440e-04 4.143451e-04 4.426169e-04
5800 -1.667556e+01 1.273051e-03 4.205904e-04 4.106033e-04 4.418575e-04
5900 -1.786557e+01 1.275542e-03 4.163501e-04 4.076219e-04 4.515704e-04
